pl_name,hostname,disc_year,soltype,pl_orbper,sy_dist,disc_facility
24 Sex c,24 Sex,2010,Published Confirmed,883.0,72.0691,Lick Observatory
2M0437 b,2MASS J04372171+2651014,2021,Published Confirmed,,128.484,Subaru Telescope
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2013,Published Confirmed,,,Paranal Observatory
2MASS J01225093-2439505 b,2MASS J01225093-2439505,2013,Published Confirmed,,33.8281,W. M. Keck Observatory
2MASS J01225093-2439505 b,2MASS J01225093-2439505,2013,Published Confirmed,,33.8281,W. M. Keck Observatory
2MASS J02192210-3925225 b,2MASS J02192210-3925225,2015,Published Confirmed,,,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513 b,2MASS J04414489+2301513,2010,Published Confirmed,,,Hubble Space Telescope
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2004,Published Confirmed,,64.308,Paranal Observatory
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2004,Published Confirmed,,64.308,Paranal Observatory
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2015,Published Confirmed,406.0,396.332,Kepler
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2015,Published Confirmed,416.0,396.332,Kepler
2MASS J22362452+4751425 b,2MASS J22362452+4751425,2016,Published Confirmed,,69.5737,W. M. Keck Observatory
30 Ari B b,30 Ari B,2009,Published Confirmed,335.1,44.657,Thueringer Landessternwarte Tautenburg
30 Ari B b,30 Ari B,2009,Published Confirmed,345.4,44.657,Thueringer Landessternwarte Tautenburg
30 Ari B b,30 Ari B,2009,Published Confirmed,335.10001,44.657,Thueringer Landessternwarte Tautenburg
4 UMa b,4 UMa,2006,Published Confirmed,270.27,73.4603,Thueringer Landessternwarte Tautenburg
4 UMa b,4 UMa,2006,Published Confirmed,269.3,73.4603,Thueringer Landessternwarte Tautenburg
42 Dra b,42 Dra,2008,Published Confirmed,479.1,90.6545,Thueringer Landessternwarte Tautenburg
47 UMa b,47 UMa,1996,Published Confirmed,1076.6,13.7967,Lick Observatory
47 UMa b,47 UMa,1996,Published Confirmed,1078.0,13.7967,Lick Observatory
47 UMa b,47 UMa,1996,Published Confirmed,1100.8,13.7967,Lick Observatory
47 UMa b,47 UMa,1996,Published Confirmed,1083.2,13.7967,Lick Observatory
47 UMa b,47 UMa,1996,Published Confirmed,1076.6,13.7967,Lick Observatory
47 UMa c,47 UMa,2001,Published Confirmed,2391.0,13.7967,Lick Observatory
47 UMa c,47 UMa,2001,Published Confirmed,7586.0,13.7967,Lick Observatory
47 UMa c,47 UMa,2001,Published Confirmed,2287.0,13.7967,Lick Observatory
47 UMa d,47 UMa,2009,Published Confirmed,14002.0,13.7967,Lick Observatory
47 UMa d,47 UMa,2009,Published Confirmed,19000.0,13.7967,Lick Observatory
51 Eri b,51 Eri,2015,Published Confirmed,,29.7575,Gemini Observatory
51 Eri b,51 Eri,2015,Published Confirmed,11688.0,29.7575,Gemini Observatory
51 Eri b,51 Eri,2015,Published Confirmed,14965.0,29.7575,Gemini Observatory
51 Peg b,51 Peg,1995,Published Confirmed,4.23077,15.4614,Haute-Provence Observatory
51 Peg b,51 Peg,1995,Published Confirmed,4.2307969,15.4614,Haute-Provence Observatory
51 Peg b,51 Peg,1995,Published Confirmed,4.230785,15.4614,Haute-Provence Observatory
51 Peg b,51 Peg,1995,Published Confirmed,4.231,15.4614,Haute-Provence Observatory
51 Peg b,51 Peg,1995,Published Confirmed,4.2293,15.4614,Haute-Provence Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.648,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.465314,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.65152,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.65171,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.65162,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.65126,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.653,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.67,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.647,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.651,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.6516,12.5855,Lick Observatory
55 Cnc b,55 Cnc,1996,Published Confirmed,14.6,12.5855,Lick Observatory
55 Cnc c,55 Cnc,2004,Published Confirmed,44.4175,12.5855,McDonald Observatory
55 Cnc c,55 Cnc,2004,Published Confirmed,44.3787,12.5855,McDonald Observatory
55 Cnc c,55 Cnc,2004,Published Confirmed,44.38,12.5855,McDonald Observatory
55 Cnc c,55 Cnc,2004,Published Confirmed,43.93,12.5855,McDonald Observatory
55 Cnc c,55 Cnc,2004,Published Confirmed,44.3446,12.5855,McDonald Observatory
55 Cnc c,55 Cnc,2004,Published Confirmed,44.3989,12.5855,McDonald Observatory
55 Cnc c,55 Cnc,2004,Published Confirmed,44.373,12.5855,McDonald Observatory
55 Cnc c,55 Cnc,2004,Published Confirmed,44.3827,12.5855,McDonald Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,4909.0,12.5855,Lick Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,5574.2,12.5855,Lick Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,5360.0,12.5855,Lick Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,4517.4,12.5855,Lick Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,4825.0,12.5855,Lick Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,4545.0,12.5855,Lick Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,5218.0,12.5855,Lick Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,5370.0,12.5855,Lick Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,4820.0,12.5855,Lick Observatory
55 Cnc d,55 Cnc,2002,Published Confirmed,4867.0,12.5855,Lick Observatory
55 Cnc e,55 Cnc,2004,TESS Project Candidate,0.73654582,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.73654625,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.7365474,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,2.79674,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.737,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.7365445,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.73654,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.7365515,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.7365474,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.736546,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.73654604,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.7365437,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,2.808,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.7365478,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.7365417,12.5855,McDonald Observatory
55 Cnc e,55 Cnc,2004,Published Confirmed,0.736539,12.5855,McDonald Observatory
55 Cnc f,55 Cnc,2007,Published Confirmed,260.0,12.5855,Multiple Observatories
55 Cnc f,55 Cnc,2007,Published Confirmed,260.91,12.5855,Multiple Observatories
55 Cnc f,55 Cnc,2007,Published Confirmed,261.2,12.5855,Multiple Observatories
55 Cnc f,55 Cnc,2007,Published Confirmed,262.0,12.5855,Multiple Observatories
55 Cnc f,55 Cnc,2007,Published Confirmed,260.7,12.5855,Multiple Observatories
55 Cnc f,55 Cnc,2007,Published Confirmed,260.98,12.5855,Multiple Observatories
55 Cnc f,55 Cnc,2007,Published Confirmed,259.88,12.5855,Multiple Observatories
6 Lyn b,6 Lyn,2008,Published Confirmed,899.0,54.6599,Okayama Astrophysical Observatory
6 Lyn b,6 Lyn,2008,Published Confirmed,874.774,54.6599,Okayama Astrophysical Observatory
6 Lyn b,6 Lyn,2008,Published Confirmed,919.86,54.6599,Okayama Astrophysical Observatory
6 Lyn b,6 Lyn,2008,Published Confirmed,934.3,54.6599,Okayama Astrophysical Observatory
61 Vir b,61 Vir,2009,Published Confirmed,4.21487,8.50332,Multiple Observatories
61 Vir b,61 Vir,2009,Published Confirmed,4.215,8.50332,Multiple Observatories
61 Vir c,61 Vir,2009,Published Confirmed,38.0957,8.50332,Multiple Observatories
61 Vir c,61 Vir,2009,Published Confirmed,38.021,8.50332,Multiple Observatories
61 Vir d,61 Vir,2009,Published Confirmed,123.01,8.50332,Multiple Observatories
7 CMa b,7 CMa,2011,Published Confirmed,796.0,19.8101,Anglo-Australian Telescope
7 CMa b,7 CMa,2011,Published Confirmed,763.0,19.8101,Anglo-Australian Telescope
7 CMa b,7 CMa,2011,Published Confirmed,735.1,19.8101,Anglo-Australian Telescope
7 CMa c,7 CMa,2019,Published Confirmed,996.0,19.8101,Multiple Observatories
70 Vir b,70 Vir,1996,Published Confirmed,116.689,17.9011,Lick Observatory
70 Vir b,70 Vir,1996,Published Confirmed,116.6884,17.9011,Lick Observatory
70 Vir b,70 Vir,1996,Published Confirmed,116.69335,17.9011,Lick Observatory
70 Vir b,70 Vir,1996,Published Confirmed,116.688,17.9011,Lick Observatory
70 Vir b,70 Vir,1996,Published Confirmed,116.6884,17.9011,Lick Observatory
70 Vir b,70 Vir,1996,Published Confirmed,116.6926,17.9011,Lick Observatory
75 Cet b,75 Cet,2012,Published Confirmed,691.9,82.9613,Okayama Astrophysical Observatory
75 Cet b,75 Cet,2012,Published Confirmed,696.62,82.9613,Okayama Astrophysical Observatory
75 Cet c,75 Cet,2023,Published Confirmed,2051.62,82.9613,Okayama Astrophysical Observatory
8 UMi b,8 UMi,2015,Published Confirmed,93.4,162.552,Bohyunsan Optical Astronomical Observatory
8 UMi b,8 UMi,2015,Published Confirmed,93.4,162.552,Bohyunsan Optical Astronomical Observatory
81 Cet b,81 Cet,2008,Published Confirmed,952.7,101.26,Okayama Astrophysical Observatory
81 Cet b,81 Cet,2008,Published Confirmed,,101.26,Okayama Astrophysical Observatory
81 Cet b,81 Cet,2008,Published Confirmed,1005.57,101.26,Okayama Astrophysical Observatory
91 Aqr b,91 Aqr,2013,Published Confirmed,181.4,44.0304,Lick Observatory
AB Aur b,AB Aur,2022,Published Confirmed,,162.127,Subaru Telescope
AB Pic b,AB Pic,2005,Published Confirmed,,50.0475,Paranal Observatory
AF Lep b,AF Lep,2023,Published Confirmed,8030.0,26.8564,Paranal Observatory
AF Lep b,AF Lep,2023,Published Confirmed,7520.0,26.8564,Paranal Observatory
AF Lep b,AF Lep,2023,Published Confirmed,9060.0,26.8564,Paranal Observatory
AU Mic b,AU Mic,2020,Published Confirmed,8.4629991,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,2020,Published Confirmed,8.4630004,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,2020,Published Confirmed,8.46321,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,2020,Published Confirmed,8.463,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,2020,Published Confirmed,8.46321,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,2020,Published Confirmed,8.46308,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,2020,Published Confirmed,8.46321,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,2020,Published Confirmed,8.4631427,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,2020,TESS Project Candidate,,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,2020,Published Confirmed,8.463,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,2021,Published Confirmed,18.85882,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,2021,Published Confirmed,18.85969,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,2021,Published Confirmed,18.858991,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,2021,Published Confirmed,18.859019,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,2021,Published Confirmed,18.859019,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,2021,Published Confirmed,18.858982,9.7221,Transiting Exoplanet Survey Satellite (TESS)
AU Mic d,AU Mic,2023,Published Confirmed,12.73596,9.7221,Multiple Observatories
BD+03 2562 b,BD+03 2562,2017,Published Confirmed,481.9,1070.63,Multiple Observatories
BD+14 4559 b,BD+14 4559,2009,Published Confirmed,268.94,49.352,McDonald Observatory
BD+14 4559 b,BD+14 4559,2009,Published Confirmed,268.94,49.352,McDonald Observatory
BD+15 2375 b,BD+15 2375,2016,Published Confirmed,153.22,768.045,Roque de los Muchachos Observatory
BD+15 2940 b,BD+15 2940,2013,Published Confirmed,137.48,426.42,McDonald Observatory
BD+20 2457 b,BD+20 2457,2009,Published Confirmed,379.63,1539.71,McDonald Observatory
BD+20 2457 b,BD+20 2457,2009,Published Confirmed,379.63,1539.71,McDonald Observatory
BD+20 2457 c,BD+20 2457,2009,Published Confirmed,621.99,1539.71,McDonald Observatory
BD+20 274 b,BD+20 274,2012,Published Confirmed,578.2,1322.51,McDonald Observatory
BD+20 594 b,BD+20 594,2016,Published Confirmed,41.688644,179.461,K2
BD+20 594 b,BD+20 594,2016,Published Confirmed,41.6855,179.461,K2
BD+20 594 b,BD+20 594,2016,Published Confirmed,41.6855,179.461,K2
BD+45 564 b,BD+45 564,2021,Published Confirmed,307.88,53.622,Haute-Provence Observatory
BD+48 738 b,BD+48 738,2011,Published Confirmed,392.6,871.493,McDonald Observatory
BD+48 740 b,BD+48 740,2018,Published Confirmed,733.0,666.589,Multiple Observatories
BD+49 828 b,BD+49 828,2015,Published Confirmed,2590.0,442.042,McDonald Observatory
BD+55 362 b,BD+55 362,2021,Published Confirmed,265.59,52.5697,Haute-Provence Observatory
BD+60 1417 b,BD+60 1417,2021,Published Confirmed,,44.9543,Wide-field Infrared Survey Explorer (WISE) Sat
BD+63 1405 b,BD+63 1405,2021,Published Confirmed,1198.48,38.0473,Haute-Provence Observatory
BD+63 1405 b,BD+63 1405,2021,Published Confirmed,1230.0,38.0473,Haute-Provence Observatory
BD-00 4475 b,BD-00 4475,2021,Published Confirmed,723.2,42.6402,Haute-Provence Observatory
BD-06 1339 b,BD-06 1339,2013,Published Confirmed,3.8728,20.2695,La Silla Observatory
BD-06 1339 c,BD-06 1339,2013,Published Confirmed,125.94,20.2695,La Silla Observatory
BD-08 2823 b,BD-08 2823,2009,Published Confirmed,5.6,41.3342,La Silla Observatory
BD-08 2823 b,BD-08 2823,2009,Published Confirmed,5.6,41.3342,La Silla Observatory
BD-08 2823 c,BD-08 2823,2009,Published Confirmed,237.6,41.3342,La Silla Observatory
BD-10 3166 b,BD-10 3166,2000,Published Confirmed,3.487,84.4069,W. M. Keck Observatory
BD-10 3166 b,BD-10 3166,2000,Published Confirmed,3.48777,84.4069,W. M. Keck Observatory
BD-10 3166 b,BD-10 3166,2000,Published Confirmed,3.48777,84.4069,W. M. Keck Observatory
BD-10 3166 b,BD-10 3166,2000,Published Confirmed,3.487905,84.4069,W. M. Keck Observatory
BD-11 4672 b,BD-11 4672,2014,Published Confirmed,1634.0,27.1665,La Silla Observatory
BD-11 4672 b,BD-11 4672,2014,Published Confirmed,1667.0,27.1665,La Silla Observatory
BD-11 4672 c,BD-11 4672,2020,Published Confirmed,74.2,27.1665,Roque de los Muchachos Observatory
BD-13 2130 b,BD-13 2130,2007,Published Confirmed,714.3,925.214,La Silla Observatory
BD-13 2130 b,BD-13 2130,2007,Published Confirmed,714.29999,925.214,La Silla Observatory
BD-17 63 b,BD-17 63,2008,Published Confirmed,655.6,34.4603,La Silla Observatory
BD-17 63 b,BD-17 63,2008,Published Confirmed,655.59998,34.4603,La Silla Observatory
BD-210397 b,BD-210397,2023,Published Confirmed,1891.0,23.7324,La Silla Observatory
BD-210397 c,BD-210397,2023,Published Confirmed,6240.0,23.7324,La Silla Observatory
BD-210397 c,BD-210397,2023,Published Confirmed,6360.0,23.7324,La Silla Observatory
CD Cet b,CD Cet,2020,Published Confirmed,2.2907,8.60715,Calar Alto Observatory
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2011,Published Confirmed,10037.5,,W. M. Keck Observatory
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,2021,Published Confirmed,8040000.0,,Hubble Space Telescope
CHXR 73 b,CHXR 73,2006,Published Confirmed,,190.374,Hubble Space Telescope
CI Tau b,CI Tau,2019,Published Confirmed,8.9891,157.998,Multiple Observatories
COCONUTS-2 b,COCONUTS-2 A,2021,Published Confirmed,402000000.0,10.8864,NASA Infrared Telescope Facility (IRTF)
CT Cha b,CT Cha,2007,Published Confirmed,,190.72,Paranal Observatory
CoRoT-1 b,CoRoT-1,2008,Published Confirmed,1.50896877,787.909,CoRoT
CoRoT-1 b,CoRoT-1,2008,TESS Project Candidate,1.5089635,787.909,CoRoT
CoRoT-1 b,CoRoT-1,2008,Published Confirmed,1.5089682,787.909,CoRoT
CoRoT-1 b,CoRoT-1,2008,Published Confirmed,1.5089557,787.909,CoRoT
CoRoT-1 b,CoRoT-1,2008,Published Confirmed,1.5089686,787.909,CoRoT
CoRoT-1 b,CoRoT-1,2008,Published Confirmed,1.50897655,787.909,CoRoT
CoRoT-1 b,CoRoT-1,2008,Published Confirmed,1.5089557,787.909,CoRoT
CoRoT-10 b,CoRoT-10,2010,Published Confirmed,13.2406,338.386,CoRoT
CoRoT-10 b,CoRoT-10,2010,Published Confirmed,13.2406,338.386,CoRoT
CoRoT-10 b,CoRoT-10,2010,Published Confirmed,13.2406,338.386,CoRoT
CoRoT-11 b,CoRoT-11,2010,Published Confirmed,2.994325,655.037,CoRoT
CoRoT-11 b,CoRoT-11,2010,Published Confirmed,2.99427803,655.037,CoRoT
CoRoT-11 b,CoRoT-11,2010,Published Confirmed,2.99433,655.037,CoRoT
CoRoT-11 b,CoRoT-11,2010,Published Confirmed,2.99433,655.037,CoRoT
CoRoT-11 b,CoRoT-11,2010,Published Confirmed,,655.037,CoRoT
CoRoT-11 b,CoRoT-11,2010,Published Confirmed,2.994325,655.037,CoRoT
CoRoT-12 b,CoRoT-12,2010,TESS Project Candidate,2.82803915,1126.37,CoRoT
CoRoT-12 b,CoRoT-12,2010,Published Confirmed,2.828042,1126.37,CoRoT
CoRoT-12 b,CoRoT-12,2010,Published Confirmed,2.828041,1126.37,CoRoT
CoRoT-12 b,CoRoT-12,2010,Published Confirmed,2.828042,1126.37,CoRoT
CoRoT-12 b,CoRoT-12,2010,Published Confirmed,2.82805268,1126.37,CoRoT
CoRoT-12 b,CoRoT-12,2010,Published Confirmed,2.828042,1126.37,CoRoT
CoRoT-13 b,CoRoT-13,2010,Published Confirmed,4.03519,1148.93,CoRoT
CoRoT-13 b,CoRoT-13,2010,Published Confirmed,4.03519,1148.93,CoRoT
CoRoT-13 b,CoRoT-13,2010,Published Confirmed,4.03519,1148.93,CoRoT
CoRoT-13 b,CoRoT-13,2010,TESS Project Candidate,4.03504444,1148.93,CoRoT
CoRoT-13 b,CoRoT-13,2010,Published Confirmed,4.03515,1148.93,CoRoT
CoRoT-14 b,CoRoT-14,2010,Published Confirmed,1.51214,1744.6,CoRoT
CoRoT-14 b,CoRoT-14,2010,Published Confirmed,1.51214,1744.6,CoRoT
CoRoT-14 b,CoRoT-14,2010,Published Confirmed,1.51214,1744.6,CoRoT
CoRoT-16 b,CoRoT-16,2011,Published Confirmed,5.35227,732.409,CoRoT
CoRoT-16 b,CoRoT-16,2011,Published Confirmed,5.35227,732.409,CoRoT
CoRoT-17 b,CoRoT-17,2011,Published Confirmed,3.7681,1176.12,CoRoT
CoRoT-17 b,CoRoT-17,2011,Published Confirmed,3.7681,1176.12,CoRoT
CoRoT-17 b,CoRoT-17,2011,Published Confirmed,3.7681,1176.12,CoRoT
CoRoT-18 b,CoRoT-18,2011,TESS Project Candidate,1.90008625,764.889,CoRoT
CoRoT-18 b,CoRoT-18,2011,Published Confirmed,1.90009,764.889,CoRoT
CoRoT-18 b,CoRoT-18,2011,Published Confirmed,1.9000769,764.889,CoRoT
CoRoT-18 b,CoRoT-18,2011,Published Confirmed,1.9000693,764.889,CoRoT
CoRoT-18 b,CoRoT-18,2011,Published Confirmed,1.9000693,764.889,CoRoT
CoRoT-18 b,CoRoT-18,2011,Published Confirmed,1.9000693,764.889,CoRoT
CoRoT-19 b,CoRoT-19,2011,Published Confirmed,3.897131,790.663,CoRoT
CoRoT-19 b,CoRoT-19,2011,Published Confirmed,3.89713,790.663,CoRoT
CoRoT-19 b,CoRoT-19,2011,Published Confirmed,3.89713,790.663,CoRoT
CoRoT-19 b,CoRoT-19,2011,Published Confirmed,3.89713,790.663,CoRoT
CoRoT-19 b,CoRoT-19,2011,Published Confirmed,3.8971379,790.663,CoRoT
CoRoT-19 b,CoRoT-19,2011,TESS Project Candidate,3.89712026,790.663,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.74299705,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.74299609,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.74299906,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.74299673,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.7429935,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.7429935,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.742997,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.7429935,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,TESS Project Candidate,1.74301433,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.74299673,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.7429975,213.283,CoRoT
CoRoT-2 b,CoRoT-2,2008,Published Confirmed,1.7429964,213.283,CoRoT
CoRoT-20 b,CoRoT-20,2011,TESS Project Candidate,9.24323029,844.061,CoRoT
CoRoT-20 b,CoRoT-20,2011,Published Confirmed,9.24285,844.061,CoRoT
CoRoT-20 b,CoRoT-20,2011,Published Confirmed,9.24285,844.061,CoRoT
CoRoT-20 b,CoRoT-20,2011,Published Confirmed,9.24285,844.061,CoRoT
CoRoT-20 b,CoRoT-20,2011,Published Confirmed,9.24318,844.061,CoRoT
CoRoT-20 b,CoRoT-20,2011,Published Confirmed,9.24285,844.061,CoRoT
CoRoT-20 c,CoRoT-20,2018,Published Confirmed,1675.0,844.061,Multiple Observatories
CoRoT-21 b,CoRoT-21,2012,Published Confirmed,2.72474,,CoRoT
CoRoT-21 b,CoRoT-21,2012,Published Confirmed,2.72474,,CoRoT
CoRoT-22 b,CoRoT-22,2014,Published Confirmed,9.75598,627.158,CoRoT
CoRoT-23 b,CoRoT-23,2011,Published Confirmed,3.6313,1060.97,CoRoT
CoRoT-23 b,CoRoT-23,2011,Published Confirmed,3.6313,1060.97,CoRoT
CoRoT-23 b,CoRoT-23,2011,Published Confirmed,3.6313,1060.97,CoRoT
CoRoT-24 b,CoRoT-24,2014,Published Confirmed,5.1134,591.555,CoRoT
CoRoT-24 c,CoRoT-24,2014,Published Confirmed,11.759,591.555,CoRoT
CoRoT-25 b,CoRoT-25,2013,Published Confirmed,4.86069,1103.48,CoRoT
CoRoT-25 b,CoRoT-25,2013,Published Confirmed,4.86069,1103.48,CoRoT
CoRoT-26 b,CoRoT-26,2013,Published Confirmed,4.20474,1045.18,CoRoT
CoRoT-26 b,CoRoT-26,2013,Published Confirmed,4.20474,1045.18,CoRoT
CoRoT-27 b,CoRoT-27,2014,Published Confirmed,3.57532,1010.28,CoRoT
